Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
1095 10.33 - 32.73 46.25 1:00.73 13.84 50.71 39.73 1:23.34 3:06.74
1094 - 20.82 32.74 46.26 1:00.75 - 50.73 39.74 1:23.37 3:06.81
1093 - 20.83 32.76 46.28 1:00.77 13.85 50.75 39.76 1:23.40 3:06.88
1092 10.34 - 32.77 46.29 1:00.79 13.86 50.77 39.77 1:23.43 3:06.94
1091 - 20.84 32.78 46.31 1:00.81 - 50.79 39.78 1:23.45 3:07.01
1090 - 20.85 32.79 46.32 1:00.83 13.87 50.81 39.80 1:23.48 3:07.08
1089 10.35 - 32.80 46.34 1:00.85 - 50.84 39.81 1:23.51 3:07.15
1088 - 20.86 32.81 46.35 1:00.87 13.88 50.86 39.83 1:23.54 3:07.21
1087 - 20.87 32.82 46.37 1:00.89 - 50.88 39.84 1:23.57 3:07.28
1086 - - 32.83 46.38 1:00.91 13.89 50.90 39.85 1:23.59 3:07.35
1085 10.36 20.88 32.85 46.40 1:00.93 - 50.92 39.87 1:23.62 3:07.42
1084 - 20.89 32.86 46.41 1:00.95 13.90 50.94 39.88 1:23.65 3:07.48
1083 - - 32.87 46.43 1:00.97 - 50.96 39.89 1:23.68 3:07.55
1082 10.37 20.90 32.88 46.44 1:00.99 13.91 50.98 39.91 1:23.70 3:07.62
1081 - 20.91 32.89 46.46 1:01.01 13.92 51.00 39.92 1:23.73 3:07.69
1080 - - 32.90 46.47 1:01.03 - 51.02 39.94 1:23.76 3:07.75
1079 10.38 20.92 32.91 46.49 1:01.05 13.93 51.04 39.95 1:23.79 3:07.82
1078 - 20.93 32.92 46.50 1:01.07 - 51.06 39.96 1:23.82 3:07.89
1077 - - 32.94 46.52 1:01.09 13.94 51.08 39.98 1:23.84 3:07.96
1076 10.39 20.94 32.95 46.53 1:01.11 - 51.10 39.99 1:23.87 3:08.03
1075 - 20.95 32.96 46.55 1:01.13 13.95 51.12 40.00 1:23.90 3:08.09
1074 - - 32.97 46.56 1:01.15 - 51.14 40.02 1:23.93 3:08.16
1073 - 20.96 32.98 46.58 1:01.17 13.96 51.16 40.03 1:23.96 3:08.23
1072 10.40 20.97 32.99 46.59 1:01.19 13.97 51.19 40.04 1:23.98 3:08.30
1071 - 20.98 33.00 46.61 1:01.21 - 51.21 40.06 1:24.01 3:08.37
1070 - - 33.01 46.62 1:01.23 13.98 51.23 40.07 1:24.04 3:08.43
1069 10.41 20.99 33.03 46.64 1:01.25 - 51.25 40.09 1:24.07 3:08.50
1068 - 21.00 33.04 46.65 1:01.27 13.99 51.27 40.10 1:24.10 3:08.57
1067 - - 33.05 46.67 1:01.29 - 51.29 40.11 1:24.12 3:08.64
1066 10.42 21.01 33.06 46.68 1:01.31 14.00 51.31 40.13 1:24.15 3:08.71
1065 - 21.02 33.07 46.70 1:01.33 - 51.33 40.14 1:24.18 3:08.77
1064 - - 33.08 46.71 1:01.35 14.01 51.35 40.15 1:24.21 3:08.84
1063 10.43 21.03 33.09 46.73 1:01.37 - 51.37 40.17 1:24.24 3:08.91
1062 - 21.04 33.11 46.74 1:01.39 14.02 51.39 40.18 1:24.26 3:08.98
1061 - - 33.12 46.76 1:01.41 14.03 51.41 40.20 1:24.29 3:09.05
1060 - 21.05 33.13 46.77 1:01.43 - 51.43 40.21 1:24.32 3:09.12
1059 10.44 21.06 33.14 46.79 1:01.45 14.04 51.45 40.22 1:24.35 3:09.18
1058 - - 33.15 46.80 1:01.47 - 51.48 40.24 1:24.38 3:09.25
1057 - 21.07 33.16 46.82 1:01.49 14.05 51.50 40.25 1:24.41 3:09.32
1056 10.45 21.08 33.17 46.83 1:01.51 - 51.52 40.27 1:24.43 3:09.39
1055 - - 33.18 46.85 1:01.53 14.06 51.54 40.28 1:24.46 3:09.46
1054 - 21.09 33.20 46.87 1:01.55 - 51.56 40.29 1:24.49 3:09.53
1053 10.46 21.10 33.21 46.88 1:01.57 14.07 51.58 40.31 1:24.52 3:09.59
1052 - - 33.22 46.90 1:01.59 14.08 51.60 40.32 1:24.55 3:09.66
1051 - 21.11 33.23 46.91 1:01.61 - 51.62 40.33 1:24.57 3:09.73
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
9
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
10.47 21.12 33.24 46.93 1:01.63 14.09 51.64 40.35 1:24.60 3:09.80 1050
- 21.13 33.25 46.94 1:01.65 - 51.66 40.36 1:24.63 3:09.87 1049
- - 33.26 46.96 1:01.67 14.10 51.68 40.38 1:24.66 3:09.94 1048
10.48 21.14 33.28 46.97 1:01.69 - 51.70 40.39 1:24.69 3:10.01 1047
- 21.15 33.29 46.99 1:01.71 14.11 51.73 40.40 1:24.72 3:10.08 1046
- - 33.30 47.00 1:01.73 - 51.75 40.42 1:24.74 3:10.14 1045
- 21.16 33.31 47.02 1:01.75 14.12 51.77 40.43 1:24.77 3:10.21 1044
10.49 21.17 33.32 47.03 1:01.77 14.13 51.79 40.45 1:24.80 3:10.28 1043
- - 33.33 47.05 1:01.79 - 51.81 40.46 1:24.83 3:10.35 1042
- 21.18 33.34 47.06 1:01.81 14.14 51.83 40.47 1:24.86 3:10.42 1041
10.50 21.19 33.36 47.08 1:01.83 - 51.85 40.49 1:24.89 3:10.49 1040
- - 33.37 47.09 1:01.85 14.15 51.87 40.50 1:24.92 3:10.56 1039
- 21.20 33.38 47.11 1:01.87 - 51.89 40.52 1:24.94 3:10.63 1038
10.51 21.21 33.39 47.13 1:01.89 14.16 51.91 40.53 1:24.97 3:10.70 1037
- - 33.40 47.14 1:01.91 14.17 51.94 40.54 1:25.00 3:10.76 1036
- 21.22 33.41 47.16 1:01.93 - 51.96 40.56 1:25.03 3:10.83 1035
10.52 21.23 33.42 47.17 1:01.95 14.18 51.98 40.57 1:25.06 3:10.90 1034
- 21.24 33.44 47.19 1:01.97 - 52.00 40.59 1:25.09 3:10.97 1033
- - 33.45 47.20 1:01.99 14.19 52.02 40.60 1:25.11 3:11.04 1032
10.53 21.25 33.46 47.22 1:02.01 - 52.04 40.61 1:25.14 3:11.11 1031
- 21.26 33.47 47.23 1:02.03 14.20 52.06 40.63 1:25.17 3:11.18 1030
- - 33.48 47.25 1:02.05 - 52.08 40.64 1:25.20 3:11.25 1029
- 21.27 33.49 47.26 1:02.08 14.21 52.10 40.66 1:25.23 3:11.32 1028
10.54 21.28 33.51 47.28 1:02.10 14.22 52.13 40.67 1:25.26 3:11.39 1027
- - 33.52 47.29 1:02.12 - 52.15 40.68 1:25.29 3:11.46 1026
- 21.29 33.53 47.31 1:02.14 14.23 52.17 40.70 1:25.31 3:11.53 1025
10.55 21.30 33.54 47.33 1:02.16 - 52.19 40.71 1:25.34 3:11.60 1024
- - 33.55 47.34 1:02.18 14.24 52.21 40.73 1:25.37 3:11.67 1023
- 21.31 33.56 47.36 1:02.20 - 52.23 40.74 1:25.40 3:11.74 1022
10.56 21.32 33.57 47.37 1:02.22 14.25 52.25 40.75 1:25.43 3:11.81 1021
- 21.33 33.59 47.39 1:02.24 14.26 52.27 40.77 1:25.46 3:11.88 1020
- - 33.60 47.40 1:02.26 - 52.29 40.78 1:25.49 3:11.94 1019
10.57 21.34 33.61 47.42 1:02.28 14.27 52.32 40.80 1:25.52 3:12.01 1018
- 21.35 33.62 47.43 1:02.30 - 52.34 40.81 1:25.54 3:12.08 1017
- - 33.63 47.45 1:02.32 14.28 52.36 40.82 1:25.57 3:12.15 1016
10.58 21.36 33.64 47.47 1:02.34 - 52.38 40.84 1:25.60 3:12.22 1015
- 21.37 33.66 47.48 1:02.36 14.29 52.40 40.85 1:25.63 3:12.29 1014
- - 33.67 47.50 1:02.38 14.30 52.42 40.87 1:25.66 3:12.36 1013
- 21.38 33.68 47.51 1:02.40 - 52.44 40.88 1:25.69 3:12.43 1012
10.59 21.39 33.69 47.53 1:02.42 14.31 52.46 40.89 1:25.72 3:12.50 1011
- - 33.70 47.54 1:02.44 - 52.49 40.91 1:25.75 3:12.57 1010
- 21.40 33.71 47.56 1:02.46 14.32 52.51 40.92 1:25.77 3:12.64 1009
10.60 21.41 33.73 47.57 1:02.49 - 52.53 40.94 1:25.80 3:12.71 1008
- 21.42 33.74 47.59 1:02.51 14.33 52.55 40.95 1:25.83 3:12.78 1007
- - 33.75 47.61 1:02.53 14.34 52.57 40.97 1:25.86 3:12.85 1006
10.61 21.43 33.76 47.62 1:02.55 - 52.59 40.98 1:25.89 3:12.92 1005
- 21.44 33.77 47.64 1:02.57 14.35 52.61 40.99 1:25.92 3:12.99 1004
- - 33.78 47.65 1:02.59 - 52.63 41.01 1:25.95 3:13.06 1003
10.62 21.45 33.80 47.67 1:02.61 14.36 52.66 41.02 1:25.98 3:13.13 1002
- 21.46 33.81 47.68 1:02.63 - 52.68 41.04 1:26.01 3:13.21 1001
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
10
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
1000 - - 33.82 47.70 1:02.65 14.37 52.70 41.05 1:26.03 3:13.28
999 10.63 21.47 33.83 47.71 1:02.67 - 52.72 41.07 1:26.06 3:13.35
998 - 21.48 33.84 47.73 1:02.69 14.38 52.74 41.08 1:26.09 3:13.42
997 - 21.49 33.85 47.75 1:02.71 14.39 52.76 41.09 1:26.12 3:13.49
996 10.64 - 33.87 47.76 1:02.73 - 52.78 41.11 1:26.15 3:13.56
995 - 21.50 33.88 47.78 1:02.75 14.40 52.81 41.12 1:26.18 3:13.63
994 - 21.51 33.89 47.79 1:02.77 - 52.83 41.14 1:26.21 3:13.70
993 10.65 - 33.90 47.81 1:02.80 14.41 52.85 41.15 1:26.24 3:13.77
992 - 21.52 33.91 47.82 1:02.82 14.42 52.87 41.16 1:26.27 3:13.84
991 - 21.53 33.92 47.84 1:02.84 - 52.89 41.18 1:26.30 3:13.91
990 10.66 - 33.94 47.86 1:02.86 14.43 52.91 41.19 1:26.32 3:13.98
989 - 21.54 33.95 47.87 1:02.88 - 52.93 41.21 1:26.35 3:14.05
988 - 21.55 33.96 47.89 1:02.90 14.44 52.96 41.22 1:26.38 3:14.12
987 - 21.56 33.97 47.90 1:02.92 - 52.98 41.24 1:26.41 3:14.19
986 10.67 - 33.98 47.92 1:02.94 14.45 53.00 41.25 1:26.44 3:14.26
985 - 21.57 33.99 47.93 1:02.96 14.46 53.02 41.27 1:26.47 3:14.33
984 - 21.58 34.01 47.95 1:02.98 - 53.04 41.28 1:26.50 3:14.41
983 10.68 - 34.02 47.97 1:03.00 14.47 53.06 41.29 1:26.53 3:14.48
982 - 21.59 34.03 47.98 1:03.02 - 53.09 41.31 1:26.56 3:14.55
981 - 21.60 34.04 48.00 1:03.04 14.48 53.11 41.32 1:26.59 3:14.62
980 10.69 21.61 34.05 48.01 1:03.07 - 53.13 41.34 1:26.62 3:14.69
979 - - 34.07 48.03 1:03.09 14.49 53.15 41.35 1:26.65 3:14.76
978 - 21.62 34.08 48.05 1:03.11 14.50 53.17 41.37 1:26.68 3:14.83
977 10.70 21.63 34.09 48.06 1:03.13 - 53.19 41.38 1:26.70 3:14.90
976 - - 34.10 48.08 1:03.15 14.51 53.22 41.39 1:26.73 3:14.97
975 - 21.64 34.11 48.09 1:03.17 - 53.24 41.41 1:26.76 3:15.05
974 10.71 21.65 34.12 48.11 1:03.19 14.52 53.26 41.42 1:26.79 3:15.12
973 - 21.66 34.14 48.12 1:03.21 - 53.28 41.44 1:26.82 3:15.19
972 - - 34.15 48.14 1:03.23 14.53 53.30 41.45 1:26.85 3:15.26
971 10.72 21.67 34.16 48.16 1:03.25 14.54 53.32 41.47 1:26.88 3:15.33
970 - 21.68 34.17 48.17 1:03.27 - 53.35 41.48 1:26.91 3:15.40
969 - - 34.18 48.19 1:03.30 14.55 53.37 41.50 1:26.94 3:15.47
968 10.73 21.69 34.20 48.20 1:03.32 - 53.39 41.51 1:26.97 3:15.55
967 - 21.70 34.21 48.22 1:03.34 14.56 53.41 41.52 1:27.00 3:15.62
966 - 21.71 34.22 48.24 1:03.36 14.57 53.43 41.54 1:27.03 3:15.69
965 10.74 - 34.23 48.25 1:03.38 - 53.45 41.55 1:27.06 3:15.76
964 - 21.72 34.24 48.27 1:03.40 14.58 53.48 41.57 1:27.09 3:15.83
963 - 21.73 34.26 48.28 1:03.42 - 53.50 41.58 1:27.12 3:15.90
962 10.75 - 34.27 48.30 1:03.44 14.59 53.52 41.60 1:27.15 3:15.98
961 - 21.74 34.28 48.32 1:03.46 - 53.54 41.61 1:27.18 3:16.05
960 - 21.75 34.29 48.33 1:03.49 14.60 53.56 41.63 1:27.21 3:16.12
959 10.76 21.76 34.30 48.35 1:03.51 14.61 53.59 41.64 1:27.24 3:16.19
958 - - 34.31 48.36 1:03.53 - 53.61 41.65 1:27.26 3:16.26
957 - 21.77 34.33 48.38 1:03.55 14.62 53.63 41.67 1:27.29 3:16.33
956 - 21.78 34.34 48.40 1:03.57 - 53.65 41.68 1:27.32 3:16.41
955 10.77 - 34.35 48.41 1:03.59 14.63 53.67 41.70 1:27.35 3:16.48
954 - 21.79 34.36 48.43 1:03.61 14.64 53.69 41.71 1:27.38 3:16.55
953 - 21.80 34.37 48.44 1:03.63 - 53.72 41.73 1:27.41 3:16.62
952 10.78 21.81 34.39 48.46 1:03.65 14.65 53.74 41.74 1:27.44 3:16.69
951 - - 34.40 48.48 1:03.68 - 53.76 41.76 1:27.47 3:16.77
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
11
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
- 21.82 34.41 48.49 1:03.70 14.66 53.78 41.77 1:27.50 3:16.84 950
10.79 21.83 34.42 48.51 1:03.72 - 53.80 41.79 1:27.53 3:16.91 949
- - 34.43 48.52 1:03.74 14.67 53.83 41.80 1:27.56 3:16.98 948
- 21.84 34.45 48.54 1:03.76 14.68 53.85 41.82 1:27.59 3:17.06 947
10.80 21.85 34.46 48.56 1:03.78 - 53.87 41.83 1:27.62 3:17.13 946
- 21.86 34.47 48.57 1:03.80 14.69 53.89 41.84 1:27.65 3:17.20 945
- - 34.48 48.59 1:03.82 - 53.91 41.86 1:27.68 3:17.27 944
10.81 21.87 34.49 48.60 1:03.85 14.70 53.94 41.87 1:27.71 3:17.34 943
- 21.88 34.51 48.62 1:03.87 14.71 53.96 41.89 1:27.74 3:17.42 942
- - 34.52 48.64 1:03.89 - 53.98 41.90 1:27.77 3:17.49 941
10.82 21.89 34.53 48.65 1:03.91 14.72 54.00 41.92 1:27.80 3:17.56 940
- 21.90 34.54 48.67 1:03.93 - 54.02 41.93 1:27.83 3:17.63 939
- 21.91 34.56 48.68 1:03.95 14.73 54.05 41.95 1:27.86 3:17.71 938
10.83 - 34.57 48.70 1:03.97 - 54.07 41.96 1:27.89 3:17.78 937
- 21.92 34.58 48.72 1:03.99 14.74 54.09 41.98 1:27.92 3:17.85 936
- 21.93 34.59 48.73 1:04.02 14.75 54.11 41.99 1:27.95 3:17.93 935
10.84 21.94 34.60 48.75 1:04.04 - 54.14 42.01 1:27.98 3:18.00 934
- - 34.62 48.77 1:04.06 14.76 54.16 42.02 1:28.01 3:18.07 933
- 21.95 34.63 48.78 1:04.08 - 54.18 42.04 1:28.04 3:18.14 932
10.85 21.96 34.64 48.80 1:04.10 14.77 54.20 42.05 1:28.07 3:18.22 931
- - 34.65 48.81 1:04.12 14.78 54.22 42.06 1:28.10 3:18.29 930
- 21.97 34.66 48.83 1:04.14 - 54.25 42.08 1:28.13 3:18.36 929
10.86 21.98 34.68 48.85 1:04.17 14.79 54.27 42.09 1:28.16 3:18.44 928
- 21.99 34.69 48.86 1:04.19 - 54.29 42.11 1:28.19 3:18.51 927
- - 34.70 48.88 1:04.21 14.80 54.31 42.12 1:28.22 3:18.58 926
10.87 22.00 34.71 48.90 1:04.23 14.81 54.34 42.14 1:28.25 3:18.66 925
- 22.01 34.72 48.91 1:04.25 - 54.36 42.15 1:28.28 3:18.73 924
- 22.02 34.74 48.93 1:04.27 14.82 54.38 42.17 1:28.31 3:18.80 923
10.88 - 34.75 48.94 1:04.30 - 54.40 42.18 1:28.34 3:18.87 922
- 22.03 34.76 48.96 1:04.32 14.83 54.42 42.20 1:28.37 3:18.95 921
- 22.04 34.77 48.98 1:04.34 14.84 54.45 42.21 1:28.40 3:19.02 920
10.89 - 34.79 48.99 1:04.36 - 54.47 42.23 1:28.43 3:19.09 919
- 22.05 34.80 49.01 1:04.38 14.85 54.49 42.24 1:28.46 3:19.17 918
- 22.06 34.81 49.03 1:04.40 - 54.51 42.26 1:28.49 3:19.24 917
10.90 22.07 34.82 49.04 1:04.42 14.86 54.54 42.27 1:28.52 3:19.32 916
- - 34.83 49.06 1:04.45 14.87 54.56 42.29 1:28.55 3:19.39 915
- 22.08 34.85 49.08 1:04.47 - 54.58 42.30 1:28.58 3:19.46 914
10.91 22.09 34.86 49.09 1:04.49 14.88 54.60 42.32 1:28.61 3:19.54 913
- 22.10 34.87 49.11 1:04.51 - 54.63 42.33 1:28.64 3:19.61 912
- - 34.88 49.12 1:04.53 14.89 54.65 42.35 1:28.67 3:19.68 911
10.92 22.11 34.90 49.14 1:04.55 14.90 54.67 42.36 1:28.70 3:19.76 910
- 22.12 34.91 49.16 1:04.58 - 54.69 42.38 1:28.73 3:19.83 909
- 22.13 34.92 49.17 1:04.60 14.91 54.72 42.39 1:28.76 3:19.90 908
10.93 - 34.93 49.19 1:04.62 - 54.74 42.41 1:28.80 3:19.98 907
- 22.14 34.94 49.21 1:04.64 14.92 54.76 42.42 1:28.83 3:20.05 906
- 22.15 34.96 49.22 1:04.66 14.93 54.78 42.44 1:28.86 3:20.13 905
10.94 22.16 34.97 49.24 1:04.68 - 54.80 42.45 1:28.89 3:20.20 904
- - 34.98 49.26 1:04.71 14.94 54.83 42.47 1:28.92 3:20.27 903
- 22.17 34.99 49.27 1:04.73 - 54.85 42.48 1:28.95 3:20.35 902
10.95 22.18 35.01 49.29 1:04.75 14.95 54.87 42.50 1:28.98 3:20.42 901
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
12
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
900 - - 35.02 49.31 1:04.77 14.96 54.90 42.51 1:29.01 3:20.50
899 - 22.19 35.03 49.32 1:04.79 - 54.92 42.53 1:29.04 3:20.57
898 10.96 22.20 35.04 49.34 1:04.82 14.97 54.94 42.54 1:29.07 3:20.65
897 - 22.21 35.06 49.35 1:04.84 - 54.96 42.56 1:29.10 3:20.72
896 - - 35.07 49.37 1:04.86 14.98 54.99 42.57 1:29.13 3:20.79
895 10.97 22.22 35.08 49.39 1:04.88 14.99 55.01 42.59 1:29.16 3:20.87
894 - 22.23 35.09 49.40 1:04.90 - 55.03 42.60 1:29.19 3:20.94
893 - 22.24 35.10 49.42 1:04.92 15.00 55.05 42.62 1:29.22 3:21.02
892 10.98 - 35.12 49.44 1:04.95 - 55.08 42.63 1:29.25 3:21.09
891 - 22.25 35.13 49.45 1:04.97 15.01 55.10 42.65 1:29.28 3:21.17
890 - 22.26 35.14 49.47 1:04.99 15.02 55.12 42.66 1:29.32 3:21.24
889 10.99 22.27 35.15 49.49 1:05.01 - 55.14 42.68 1:29.35 3:21.32
888 - - 35.17 49.50 1:05.03 15.03 55.17 42.69 1:29.38 3:21.39
887 - 22.28 35.18 49.52 1:05.06 - 55.19 42.71 1:29.41 3:21.46
886 11.00 22.29 35.19 49.54 1:05.08 15.04 55.21 42.72 1:29.44 3:21.54
885 - 22.30 35.20 49.55 1:05.10 15.05 55.23 42.74 1:29.47 3:21.61
884 - - 35.22 49.57 1:05.12 - 55.26 42.75 1:29.50 3:21.69
883 11.01 22.31 35.23 49.59 1:05.14 15.06 55.28 42.77 1:29.53 3:21.76
882 - 22.32 35.24 49.60 1:05.17 - 55.30 42.78 1:29.56 3:21.84
881 - 22.33 35.25 49.62 1:05.19 15.07 55.33 42.80 1:29.59 3:21.91
880 11.02 - 35.27 49.64 1:05.21 15.08 55.35 42.81 1:29.62 3:21.99
879 - 22.34 35.28 49.65 1:05.23 - 55.37 42.83 1:29.65 3:22.06
878 - 22.35 35.29 49.67 1:05.25 15.09 55.39 42.84 1:29.69 3:22.14
877 11.03 22.36 35.30 49.69 1:05.28 - 55.42 42.86 1:29.72 3:22.21
876 - - 35.32 49.70 1:05.30 15.10 55.44 42.87 1:29.75 3:22.29
875 - 22.37 35.33 49.72 1:05.32 15.11 55.46 42.89 1:29.78 3:22.36
874 11.04 22.38 35.34 49.74 1:05.34 - 55.49 42.90 1:29.81 3:22.44
873 - 22.39 35.35 49.75 1:05.36 15.12 55.51 42.92 1:29.84 3:22.51
872 - - 35.37 49.77 1:05.39 15.13 55.53 42.93 1:29.87 3:22.59
871 11.05 22.40 35.38 49.79 1:05.41 - 55.55 42.95 1:29.90 3:22.67
870 - 22.41 35.39 49.80 1:05.43 15.14 55.58 42.96 1:29.93 3:22.74
869 11.06 22.42 35.40 49.82 1:05.45 - 55.60 42.98 1:29.96 3:22.82
868 - - 35.42 49.84 1:05.48 15.15 55.62 42.99 1:30.00 3:22.89
867 - 22.43 35.43 49.85 1:05.50 15.16 55.65 43.01 1:30.03 3:22.97
866 11.07 22.44 35.44 49.87 1:05.52 - 55.67 43.03 1:30.06 3:23.04
865 - 22.45 35.45 49.89 1:05.54 15.17 55.69 43.04 1:30.09 3:23.12
864 - - 35.47 49.90 1:05.56 - 55.72 43.06 1:30.12 3:23.19
863 11.08 22.46 35.48 49.92 1:05.59 15.18 55.74 43.07 1:30.15 3:23.27
862 - 22.47 35.49 49.94 1:05.61 15.19 55.76 43.09 1:30.18 3:23.35
861 - 22.48 35.50 49.96 1:05.63 - 55.78 43.10 1:30.21 3:23.42
860 11.09 - 35.52 49.97 1:05.65 15.20 55.81 43.12 1:30.24 3:23.50
859 - 22.49 35.53 49.99 1:05.68 15.21 55.83 43.13 1:30.28 3:23.57
858 - 22.50 35.54 50.01 1:05.70 - 55.85 43.15 1:30.31 3:23.65
857 11.10 22.51 35.55 50.02 1:05.72 15.22 55.88 43.16 1:30.34 3:23.72
856 - - 35.57 50.04 1:05.74 - 55.90 43.18 1:30.37 3:23.80
855 - 22.52 35.58 50.06 1:05.76 15.23 55.92 43.19 1:30.40 3:23.88
854 11.11 22.53 35.59 50.07 1:05.79 15.24 55.95 43.21 1:30.43 3:23.95
853 - 22.54 35.61 50.09 1:05.81 - 55.97 43.22 1:30.46 3:24.03
852 - - 35.62 50.11 1:05.83 15.25 55.99 43.24 1:30.50 3:24.11
851 11.12 22.55 35.63 50.12 1:05.85 - 56.02 43.26 1:30.53 3:24.18
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
13
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
- 22.56 35.64 50.14 1:05.88 15.26 56.04 43.27 1:30.56 3:24.26 850
- 22.57 35.66 50.16 1:05.90 15.27 56.06 43.29 1:30.59 3:24.33 849
11.13 - 35.67 50.18 1:05.92 - 56.09 43.30 1:30.62 3:24.41 848
- 22.58 35.68 50.19 1:05.94 15.28 56.11 43.32 1:30.65 3:24.49 847
- 22.59 35.69 50.21 1:05.97 15.29 56.13 43.33 1:30.68 3:24.56 846
11.14 22.60 35.71 50.23 1:05.99 - 56.16 43.35 1:30.72 3:24.64 845
- 22.61 35.72 50.24 1:06.01 15.30 56.18 43.36 1:30.75 3:24.72 844
- - 35.73 50.26 1:06.03 - 56.20 43.38 1:30.78 3:24.79 843
11.15 22.62 35.74 50.28 1:06.06 15.31 56.23 43.39 1:30.81 3:24.87 842
- 22.63 35.76 50.29 1:06.08 15.32 56.25 43.41 1:30.84 3:24.95 841
11.16 22.64 35.77 50.31 1:06.10 - 56.27 43.43 1:30.87 3:25.02 840
- - 35.78 50.33 1:06.12 15.33 56.30 43.44 1:30.90 3:25.10 839
- 22.65 35.80 50.35 1:06.15 15.34 56.32 43.46 1:30.94 3:25.18 838
11.17 22.66 35.81 50.36 1:06.17 - 56.34 43.47 1:30.97 3:25.25 837
- 22.67 35.82 50.38 1:06.19 15.35 56.37 43.49 1:31.00 3:25.33 836
- - 35.83 50.40 1:06.21 - 56.39 43.50 1:31.03 3:25.41 835
11.18 22.68 35.85 50.41 1:06.24 15.36 56.41 43.52 1:31.06 3:25.48 834
- 22.69 35.86 50.43 1:06.26 15.37 56.44 43.53 1:31.10 3:25.56 833
- 22.70 35.87 50.45 1:06.28 - 56.46 43.55 1:31.13 3:25.64 832
11.19 22.71 35.89 50.47 1:06.31 15.38 56.48 43.57 1:31.16 3:25.72 831
- - 35.90 50.48 1:06.33 15.39 56.51 43.58 1:31.19 3:25.79 830
- 22.72 35.91 50.50 1:06.35 - 56.53 43.60 1:31.22 3:25.87 829
11.20 22.73 35.92 50.52 1:06.37 15.40 56.55 43.61 1:31.25 3:25.95 828
- 22.74 35.94 50.53 1:06.40 - 56.58 43.63 1:31.29 3:26.03 827
- - 35.95 50.55 1:06.42 15.41 56.60 43.64 1:31.32 3:26.10 826
11.21 22.75 35.96 50.57 1:06.44 15.42 56.62 43.66 1:31.35 3:26.18 825
- 22.76 35.98 50.59 1:06.46 - 56.65 43.68 1:31.38 3:26.26 824
- 22.77 35.99 50.60 1:06.49 15.43 56.67 43.69 1:31.41 3:26.34 823
11.22 - 36.00 50.62 1:06.51 15.44 56.69 43.71 1:31.45 3:26.41 822
- 22.78 36.01 50.64 1:06.53 - 56.72 43.72 1:31.48 3:26.49 821
11.23 22.79 36.03 50.66 1:06.56 15.45 56.74 43.74 1:31.51 3:26.57 820
- 22.80 36.04 50.67 1:06.58 - 56.77 43.75 1:31.54 3:26.65 819
- 22.81 36.05 50.69 1:06.60 15.46 56.79 43.77 1:31.57 3:26.72 818
11.24 - 36.07 50.71 1:06.62 15.47 56.81 43.79 1:31.61 3:26.80 817
- 22.82 36.08 50.72 1:06.65 - 56.84 43.80 1:31.64 3:26.88 816
- 22.83 36.09 50.74 1:06.67 15.48 56.86 43.82 1:31.67 3:26.96 815
11.25 22.84 36.10 50.76 1:06.69 15.49 56.88 43.83 1:31.70 3:27.04 814
- - 36.12 50.78 1:06.72 - 56.91 43.85 1:31.73 3:27.11 813
- 22.85 36.13 50.79 1:06.74 15.50 56.93 43.86 1:31.77 3:27.19 812
11.26 22.86 36.14 50.81 1:06.76 15.51 56.95 43.88 1:31.80 3:27.27 811
- 22.87 36.16 50.83 1:06.78 - 56.98 43.90 1:31.83 3:27.35 810
- 22.88 36.17 50.85 1:06.81 15.52 57.00 43.91 1:31.86 3:27.43 809
11.27 - 36.18 50.86 1:06.83 - 57.03 43.93 1:31.89 3:27.50 808
- 22.89 36.20 50.88 1:06.85 15.53 57.05 43.94 1:31.93 3:27.58 807
- 22.90 36.21 50.90 1:06.88 15.54 57.07 43.96 1:31.96 3:27.66 806
11.28 22.91 36.22 50.92 1:06.90 - 57.10 43.97 1:31.99 3:27.74 805
- - 36.23 50.93 1:06.92 15.55 57.12 43.99 1:32.02 3:27.82 804
11.29 22.92 36.25 50.95 1:06.95 15.56 57.15 44.01 1:32.06 3:27.90 803
- 22.93 36.26 50.97 1:06.97 - 57.17 44.02 1:32.09 3:27.97 802
- 22.94 36.27 50.99 1:06.99 15.57 57.19 44.04 1:32.12 3:28.05 801
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
14
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
